Id,Brand,Movement,Case material,Bracelet material,Condition,Scope of delivery,Gender,Price,Availability,Watches Sold by the Seller
8228,Lip,Automatic,Steel,Leather,Used (Very good),"No original box, no original papers",Men's watch/Unisex,542.0,Item is in stock,148.0
8229,Dubey & Schaldenbrand,Automatic,Steel,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,5491.0,Item is in stock,93.0
8230,Pequignet,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,4338.0,Item available on request,566.0
8231,Zodiac,Quartz,,Steel,Used (Very good),"No original box, no original papers",Men's watch/Unisex,395.0,Item is in stock,
8232,Sinn,Automatic,,Steel,Used (Very good),"Original box, original papers",Men's watch/Unisex,7950.0,Item is in stock,3088.0
8233,Franck Muller,,,,Used (Very good),"Original box, original papers",,6930.0,Item is in stock,256.0
8234,Nivada,Manual winding,Steel,Leather,Used (Very good),"Original box, original papers",Men's watch/Unisex,2115.0,Item is in stock,
8235,Blancpain,Automatic,Titanium,Calf skin,New,"Original box, original papers",Men's watch/Unisex,15800.0,Item is in stock,1153.0
8236,Zeppelin,Quartz,Steel,Calf skin,Like new & unworn,"Original box, original papers",Men's watch/Unisex,313.0,Item is in stock,14642.0
8237,Bulgari,Quartz,Carbon,Leather,Used (Good),"No original box, no original papers",Men's watch/Unisex,2494.0,Item is in stock,22.0
8238,Grand Seiko,Automatic,Titanium,Titanium,New,"Original box, original papers",Men's watch/Unisex,5299.0,Item is in stock,225.0
8239,Sinn,Automatic,Steel,Steel,Used (Very good),"Original box, original papers",Men's watch/Unisex,2516.0,Item is in stock,
8240,Mido,Automatic,,Steel,Like new & unworn,"Original box, no original papers",Men's watch/Unisex,1762.0,Item is in stock,
8241,Hermès,Quartz,,,Used (Very good),"Original papers, no original box",Women's watch,776.0,Item is in stock,479.0
8242,Angelus,Manual winding,Steel,Leather,Used (Fair),"No original box, no original papers",,1844.0,Item is in stock,849.0
8243,Frederique Constant,Automatic,Gold/Steel,Crocodile skin,Like new & unworn,"Original box, original papers",Men's watch/Unisex,,Item available on request,74.0
8244,Steinhart,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,825.0,Item is in stock,411.0
8245,Grand Seiko,Automatic,Steel,Steel,Used (Very good),"Original box, original papers",Men's watch/Unisex,5950.0,Item is in stock,3088.0
8246,Zodiac,Automatic,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,1695.0,Item is in stock,157.0
8247,U-Boat,Automatic,Steel,,Used (Very good),"Original box, original papers",,1895.0,Item is in stock,616.0
8248,Grand Seiko,,Steel,,Used (Very good),"Original box, no original papers",Men's watch/Unisex,2999.0,Item is in stock,902.0
8249,Certina,Automatic,Steel,Steel,Like new & unworn,"Original box, no original papers",Men's watch/Unisex,655.0,Item is in stock,
8250,Rado,Quartz,,,Used (Good),"No original box, no original papers",Women's watch,73.0,Item is in stock,
8251,Azimuth,Manual winding,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,5892.0,Item is in stock,5.0
8252,Sinn,Automatic,Steel,Rubber,Used (Very good),"Original box, no original papers",Men's watch/Unisex,2484.0,Item is in stock,509.0
8253,GUB Glashütte,Quartz,,,Used (Very good),"No original box, no original papers",Men's watch/Unisex,2581.0,Item is in stock,1004.0
8254,Spinnaker,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,531.0,Item is in stock,14.0
8255,Oris,Automatic,Titanium,Titanium,Used (Very good),"Original box, original papers",Men's watch/Unisex,2250.0,Item is in stock,
8256,Ingersoll,Automatic,,,Used (Good),"Original box, original papers",Women's watch,108.0,Item is in stock,
8257,Victorinox Swiss Army,,,,New,"Original box, original papers",,691.0,Item is in stock,733.0
8258,Timex,,,,Used (Very good),"No original box, no original papers",Men's watch/Unisex,100.0,Item is in stock,
8259,Citizen,,Titanium,Titanium,New,"Original box, original papers",Men's watch/Unisex,2300.0,Item is in stock,580.0
8260,Mb&f,Manual winding,Steel,Leather,Used (Very good),"Original box, no original papers",Men's watch/Unisex,251630.0,Item is in stock,2439.0
8261,Revue Thommen,Automatic,Gold-plated,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,1384.0,Item is in stock,
8262,Vacheron Constantin,Manual winding,Rose gold,Alligator skin,Used (Very good),"Original box, original papers",Men's watch/Unisex,16150.0,Item is in stock,3534.0
8263,Sea-Gull,Manual winding,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,281.0,Item is in stock,2053.0
8264,Mondia,Automatic,Steel,Steel,Used (Very good),"No original box, no original papers",Men's watch/Unisex,480.0,Item is in stock,
8265,Mondia,Quartz,Steel,Leather,Used (Good),"No original box, no original papers",,202.0,Item is in stock,2047.0
8266,Daniel Roth,Manual winding,Yellow gold,,Used (Very good),"Original box, original papers",Men's watch/Unisex,64200.0,Item is in stock,2040.0
8267,Jaeger-LeCoultre,Quartz,Gold/Steel,Gold/Steel,Used (Good),"Original box, original papers",Women's watch,4299.0,Item is in stock,532.0
8268,Bell & Ross,Automatic,Steel,Rubber,Used (Very good),"Original box, original papers",Men's watch/Unisex,2000.0,Item is in stock,
8269,JeanRichard,Automatic,Steel,Steel,Used (Very good),"Original box, original papers",Men's watch/Unisex,3687.0,Item is in stock,779.0
8270,Bulgari,Automatic,Titanium,Titanium,Used (Very good),"Original box, original papers",Men's watch/Unisex,13600.0,Item is in stock,2040.0
8271,Hanhart,Automatic,,Leather,New,"Original box, original papers",Men's watch/Unisex,2267.0,Item available on request,358.0
8272,Fendi,Quartz,Steel,Calf skin,,"Original box, original papers",,449.0,Item is in stock,1178.0
8273,Davosa,Automatic,Steel,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,862.0,Item is in stock,8544.0
8274,Junghans,Automatic,Steel,Rubber,Used (Good),"Original box, original papers",Men's watch/Unisex,1427.0,Item is in stock,17875.0
8275,Rado,Automatic,Steel,Steel,Used (Very good),"Original box, original papers",Men's watch/Unisex,2050.0,Item is in stock,14.0
8276,Bremont,Automatic,Steel,Calf skin,Used (Very good),"Original box, original papers",Men's watch/Unisex,2225.0,Item is in stock,
8277,TAG Heuer,Quartz,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,1595.0,Item is in stock,30.0
8278,Carl F. Bucherer,Quartz,Yellow gold,Leather,Used (Very good),"Original box, original papers",Women's watch,14400.0,Item is in stock,467.0
8279,Michele,Quartz,Steel,Steel,Used (Very good),"No original box, no original papers",Women's watch,1234.0,Item is in stock,1425.0
8280,Dior,Automatic,Steel,Crocodile skin,Like new & unworn,"Original box, original papers",Women's watch,,Item available on request,74.0
8281,Bruno Söhnle,Quartz,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,927.0,Item available on request,7780.0
8282,Dubey & Schaldenbrand,Automatic,Steel,Steel,Used (Fair),"No original box, no original papers",Men's watch/Unisex,1335.0,Item is in stock,17875.0
8283,NOMOS,Automatic,Steel,Textile,Used (Good),"No original box, no original papers",Men's watch/Unisex,2750.0,Item needs to be procured,12.0
8284,Pequignet,Quartz,Steel,,New,"Original box, original papers",Women's watch,1573.0,Item needs to be procured,3109.0
8285,Porsche Design,Quartz,Steel,Steel,Used (Good),"No original box, no original papers",Men's watch/Unisex,179.0,Item is in stock,
8286,Cartier,Quartz,Steel,Leather,Used (Very good),"Original box, no original papers",Women's watch,599.0,Item is in stock,14.0
8287,Blancpain,Automatic,Titanium,Textile,Used (Very good),"Original box, original papers",Men's watch/Unisex,10000.0,Item is in stock,1606.0
8288,IWC,Automatic,Steel,,Like new & unworn,"Original box, original papers",Men's watch/Unisex,5995.0,Item is in stock,49.0
8289,Minerva,Manual winding,Steel,,Used (Very good),"No original box, no original papers",Men's watch/Unisex,3796.0,Item is in stock,21.0
8290,Omega,Automatic,Rose gold,Leather,Used (Very good),"Original box, original papers",Men's watch/Unisex,12895.0,Item is in stock,615.0
8291,Sinn,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,5184.0,Item is in stock,620.0
8292,Casio,Quartz,Plastic,Rubber,New,"Original box, original papers",Men's watch/Unisex,160.0,Item is in stock,1425.0
8293,Tutima,Automatic,Steel,Titanium,Used (Very good),"No original box, no original papers",Men's watch/Unisex,2592.0,Item is in stock,509.0
8294,Vulcain,Automatic,Steel,Rubber,New,"Original box, original papers",Men's watch/Unisex,2158.0,Item is in stock,57.0
8295,Zodiac,Automatic,Gold/Steel,,Used (Very good),"No original box, no original papers",,995.0,Item is in stock,616.0
8296,Ulysse Nardin,Automatic,Platinum,Platinum,Used (Very good),"Original box, original papers",Men's watch/Unisex,79870.0,Item is in stock,251.0
8297,BWC-Swiss,Manual winding,Steel,Leather,Used (Good),"No original box, no original papers",Men's watch/Unisex,1616.0,Item is in stock,
8298,Mido,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,1263.0,Item is in stock,827.0
8299,Romain Jerome,Automatic,Steel,Leather,Used (Very good),"Original box, original papers",Men's watch/Unisex,13557.0,Item needs to be procured,118.0
8300,Favre-Leuba,Automatic,Steel,Rubber,New,"Original box, original papers",Men's watch/Unisex,2000.0,Item available on request,712.0
8301,Hermès,Quartz,Silver,Leather,Used (Good),"No original box, no original papers",Women's watch,571.0,Item is in stock,6080.0
8302,Audemars Piguet,Automatic,Steel,Rubber,Used (Very good),"Original box, original papers",Men's watch/Unisex,36999.0,Item is in stock,80.0
8303,Wyler Vetta,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,1139.0,Item is in stock,343.0
8304,Police,Quartz,Steel,Calf skin,Like new & unworn,"Original box, original papers",Men's watch/Unisex,118.0,Item is in stock,14642.0
8305,Azimuth,Automatic,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,7126.0,Item available on request,566.0
8306,Hugo Boss,Quartz,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,412.0,Item is in stock,
8307,Eberhard & Co.,Manual winding,Yellow gold,Lizard skin,Used (Very good),"No original box, no original papers",Men's watch/Unisex,5206.0,Item is in stock,100.0
8308,Maurice Lacroix,Automatic,Steel,Leather,Used (Good),"No original box, no original papers",Men's watch/Unisex,1301.0,Item is in stock,132.0
8309,Philip Watch,Automatic,Yellow gold,Crocodile skin,Like new & unworn,"Original box, original papers",Men's watch/Unisex,1627.0,Item is in stock,
8310,Graham,Automatic,Steel,Rubber,New,"Original box, original papers",Men's watch/Unisex,4950.0,Item is in stock,1153.0
8311,H.Moser & Cie.,Automatic,,,Used (Very good),"Original box, original papers",Men's watch/Unisex,10200.0,Item is in stock,957.0
8312,Laco,Manual winding,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,1833.0,Item is in stock,428.0
8313,Chronographe Suisse Cie,Manual winding,Yellow gold,Leather,Used (Good),"No original box, no original papers",Men's watch/Unisex,1166.0,Item is in stock,
8314,Parmigiani Fleurier,Automatic,Steel,,Like new & unworn,"Original box, original papers",Men's watch/Unisex,14950.0,Item is in stock,2206.0
8315,Jaeger-LeCoultre,Automatic,,,Used (Very good),"Original box, original papers",Men's watch/Unisex,4900.0,Item is in stock,957.0
8316,Fossil,Quartz,Steel,Leather,Used (Very good),"Original box, no original papers",Men's watch/Unisex,97.0,Item is in stock,
8317,Harry Winston,,,,Used (Very good),"Original box, original papers",Men's watch/Unisex,11550.0,Item needs to be procured,778.0
8318,Poljot,Automatic,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,465.0,Item is in stock,2054.0
8319,Carl F. Bucherer,Automatic,White gold,White gold,New,"Original box, no original papers",Men's watch/Unisex,10312.0,Item is in stock,100.0
8320,Victorinox Swiss Army,Quartz,Steel,Leather,Like new & unworn,"No original box, no original papers",,216.0,Item is in stock,1408.0
8321,Carl F. Bucherer,Automatic,Steel,Steel,Used (Very good),"Original box, original papers",Men's watch/Unisex,3300.0,Item is in stock,467.0
8322,Mercury,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,2512.0,Item is in stock,1.0
8323,Locman,,Steel,Rubber,Like new & unworn,"Original box, original papers",Men's watch/Unisex,472.0,Item is in stock,
8324,Spinnaker,Automatic,Steel,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,266.0,Item is in stock,
8325,ZRC,Automatic,Steel,Calf skin,Used (Very good),"Original box, original papers",Men's watch/Unisex,2386.0,Item is in stock,
8326,Montblanc,Automatic,Steel,Leather,Used (Very good),"Original box, original papers",,3950.0,Item is in stock,895.0
8327,Tutima,Automatic,Steel,Steel,Used (Very good),"No original box, no original papers",Men's watch/Unisex,3904.0,Item is in stock,23.0
8328,Bulova,Automatic,Steel,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,750.0,Item is in stock,
8329,Rolex,Automatic,Steel,Steel,Used (Very good),"Original box, no original papers",Men's watch/Unisex,7995.0,Item is in stock,523.0
8330,Eterna,Automatic,Steel,Leather,Used (Very good),"No original box, no original papers",Men's watch/Unisex,785.0,Item is in stock,1393.0
8331,Heuer,Manual winding,Steel,Rubber,Used (Good),"No original box, no original papers",Men's watch/Unisex,2489.0,Item is in stock,6080.0
8332,Edox,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,2050.0,Item needs to be procured,428.0
8333,B.R.M,Automatic,Titanium,Leather,Used (Very good),"Original box, no original papers",Men's watch/Unisex,5245.0,Item needs to be procured,517.0
8334,Hanhart,Manual winding,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,965.0,Item available on request,251.0
8335,Patek Philippe,Automatic,White gold,Leather,Used (Good),"Original box, no original papers",Men's watch/Unisex,65000.0,Item is in stock,54.0
8336,Pequignet,Quartz,Steel,Leather,Used (Very good),"No original box, no original papers",Women's watch,380.0,Item is in stock,
8337,Alexander Shorokhoff,Manual winding,Steel,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,3571.0,Item is in stock,
8338,Sector,Quartz,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,183.0,Item is in stock,14642.0
8339,De Grisogono,Automatic,,Leather,Used (Good),"No original box, no original papers",Women's watch,14316.0,Item needs to be procured,118.0
8340,Sector,Quartz,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,194.0,Item is in stock,14642.0
8341,Heuer,Manual winding,Steel,Steel,,"No original box, no original papers",Men's watch/Unisex,5000.0,Item available on request,0.0
8342,Vulcain,Manual winding,Steel,Rubber,Like new & unworn,"Original box, original papers",Men's watch/Unisex,3443.0,Item is in stock,
8343,Movado,Quartz,Steel,Steel,Used (Very good),"No original box, no original papers",Men's watch/Unisex,637.0,Item is in stock,245.0
8344,Rotary,Quartz,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,270.0,Item is in stock,14642.0
8345,Edox,Automatic,,Steel,New,"Original box, original papers",Men's watch/Unisex,979.0,Item is in stock,376.0
8346,Lucien Rochat,Automatic,Steel,Leather,Used (Very good),"No original box, no original papers",Men's watch/Unisex,857.0,Item is in stock,29.0
8347,Paul Picot,Automatic,Gold-plated,Leather,Used (Good),"No original box, no original papers",Men's watch/Unisex,1399.0,Item is in stock,29.0
8348,Michele,Quartz,Steel,Steel,New,"Original box, no original papers",Women's watch,1795.0,Item is in stock,977.0
8349,Tecnotempo,Automatic,Steel,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,3927.0,Item is in stock,
8350,Harry Winston,Quartz,White gold,Crocodile skin,Used (Very good),"Original box, original papers",Women's watch,7065.0,Item is in stock,2889.0
8351,Arnold & Son,,Steel,Leather,Used (Good),"Original box, original papers",Men's watch/Unisex,9739.0,Item needs to be procured,180.0
8352,NOMOS,Manual winding,Steel,Leather,Used (Very good),"Original papers, no original box",Men's watch/Unisex,1193.0,Item is in stock,164.0
8353,Daniel Roth,Manual winding,White gold,White gold,Used (Very good),"Original papers, no original box",Men's watch/Unisex,10520.0,Item needs to be procured,921.0
8354,Tissot,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,579.0,Item is in stock,1177.0
8355,Bell & Ross,Automatic,Ceramic,Rubber,Like new & unworn,"Original box, original papers",Men's watch/Unisex,3950.0,Item is in stock,306.0
8356,Azimuth,Manual winding,Steel,Leather,Used (Good),"Original box, original papers",Men's watch/Unisex,4575.0,Item is in stock,2439.0
8357,Blancpain,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,,Item available on request,1281.0
8358,Carl F. Bucherer,Quartz,Gold-plated,Leather,Used (Very good),"No original box, no original papers",Men's watch/Unisex,245.0,Item is in stock,
8359,Zenith,Automatic,Titanium,,Used (Very good),"Original box, original papers",Men's watch/Unisex,9790.0,Item is in stock,3534.0
8360,Ralf Tech,Automatic,Steel,Plastic,New,"Original box, original papers",Men's watch/Unisex,1518.0,Item is in stock,374.0
8361,Wyler Vetta,Automatic,Steel,Steel,New,"Original box, original papers",Women's watch,,Item is in stock,5035.0
8362,Chaumet,Quartz,Yellow gold,Leather,Used (Good),"No original box, no original papers",Women's watch,6413.0,Item needs to be procured,517.0
8363,TAG Heuer,Automatic,Steel,Steel,New,"Original box, no original papers",Men's watch/Unisex,2211.0,Item is in stock,324.0
8364,Sarcar,Manual winding,Yellow gold,Leather,Used (Very good),"No original box, no original papers",Men's watch/Unisex,13835.0,Item needs to be procured,441.0
8365,Tiffany,Automatic,Steel,,Used (Fair),"No original box, no original papers",,1401.0,Item needs to be procured,232.0
8366,TW Steel,Quartz,Steel,Calf skin,Like new & unworn,"Original box, original papers",Women's watch,144.0,Item is in stock,14642.0
8367,Roamer,Automatic,Steel,Steel,Used (Good),"No original box, no original papers",,183.0,Item is in stock,2047.0
8368,Chronoswiss,Automatic,Steel,Leather,Used (Very good),"No original box, no original papers",Men's watch/Unisex,2835.0,Item is in stock,35.0
8369,Chronoswiss,Automatic,Steel,Leather,Used (Very good),"Original box, original papers",Men's watch/Unisex,3894.0,Item is in stock,742.0
8370,Breguet,Automatic,White gold,Crocodile skin,Used (Very good),"Original papers, no original box",Men's watch/Unisex,,Item needs to be procured,12.0
8371,Glashütte Original,Automatic,Steel,Crocodile skin,New,"Original box, original papers",Men's watch/Unisex,15950.0,Item is in stock,271.0
8372,Longines,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,1650.0,Item is in stock,1177.0
8373,Ingersoll,Automatic,Steel,Calf skin,Like new & unworn,"Original box, original papers",Men's watch/Unisex,379.0,Item is in stock,14642.0
8374,Mido,Automatic,,Textile,Used (Very good),"Original box, original papers",Men's watch/Unisex,1375.0,Item is in stock,175.0
8375,Paul Picot,Automatic,Steel,Silver,Like new & unworn,"Original box, no original papers",Men's watch/Unisex,3106.0,Item is in stock,1369.0
8376,Vacheron Constantin,Automatic,Steel,Steel,Used (Very good),"Original papers, no original box",Men's watch/Unisex,15749.0,Item is in stock,124.0
8377,Garmin,Solar,,,New,"Original box, original papers",,990.0,Item needs to be procured,7730.0
8378,Grand Seiko,Automatic,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,8000.0,Item is in stock,701.0
8379,Raketa,Manual winding,Steel,Steel,Used (Very good),"No original box, no original papers",Men's watch/Unisex,423.0,Item is in stock,78.0
8380,IWC,Automatic,Rose gold,Crocodile skin,Used (Very good),"No original box, no original papers",Men's watch/Unisex,7950.0,Item is in stock,24.0
8381,Perrelet,,Steel,Rubber,Like new & unworn,"Original box, original papers",Men's watch/Unisex,3861.0,Item is in stock,
8382,Ball,Automatic,Steel,Steel,Used (Very good),"Original box, original papers",Men's watch/Unisex,2500.0,Item is in stock,
8383,Certina,Automatic,,Leather,Used (Good),"No original box, no original papers",Men's watch/Unisex,434.0,Item is in stock,16.0
8384,Frederique Constant,Automatic,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,2161.0,Item is in stock,39.0
8385,Swatch,Quartz,Ceramic,Textile,Like new & unworn,"Original box, original papers",Men's watch/Unisex,488.0,Item is in stock,
8386,Luminox,Quartz,Carbon,Rubber,Like new & unworn,"Original box, original papers",Men's watch/Unisex,245.0,Item is in stock,219.0
8387,TAG Heuer,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,2189.0,Item is in stock,5.0
8388,Cyma,Quartz,Yellow gold,Leather,Like new & unworn,"No original box, no original papers",Women's watch,293.0,Item is in stock,3000.0
8389,Vostok,Manual winding,,Leather,Used (Good),"No original box, no original papers",Men's watch/Unisex,650.0,Item is in stock,1433.0
8390,Grand Seiko,Automatic,Steel,,Used (Very good),"Original box, original papers",Men's watch/Unisex,2599.0,Item is in stock,902.0
8391,Benzinger,Manual winding,White gold,Crocodile skin,New,"Original box, original papers",Men's watch/Unisex,30367.0,Item available on request,566.0
8392,Christopher Ward,Automatic,,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,1047.0,Item is in stock,
8393,Breguet,Automatic,Steel,Rubber,Used (Very good),"No original box, no original papers",Men's watch/Unisex,13300.0,Item needs to be procured,89.0
8394,B.R.M,Automatic,,Rubber,Used (Very good),"Original box, original papers",Men's watch/Unisex,3362.0,Item is in stock,
8395,Bruno Söhnle,Manual winding,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,2923.0,Item is in stock,7780.0
8396,Angelus,Manual winding,,Leather,Used (Very good),"No original box, no original papers",,5802.0,Item is in stock,158.0
8397,Norqain,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,4501.0,Item is in stock,325.0
8398,Michael Kors,Quartz,Steel,Steel,Like new & unworn,"Original box, original papers",Women's watch,161.0,Item is in stock,
8399,Raymond Weil,Quartz,Sapphire crystal,Steel,Used (Good),"No original box, no original papers",Men's watch/Unisex,300.0,Item is in stock,
8400,Raketa,Manual winding,,Leather,Used (Good),"No original box, no original papers",Men's watch/Unisex,205.0,Item is in stock,1433.0
8401,Fossil,Quartz,Steel,Steel,Used (Good),"Original box, no original papers",Men's watch/Unisex,57.0,Item is in stock,
8402,Eberhard & Co.,Automatic,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,3894.0,Item is in stock,52.0
8403,Enicar,Manual winding,Steel,,Used (Very good),"No original box, no original papers",,4284.0,Item is in stock,849.0
8404,Lemania,Automatic,Steel,Leather,Used (Good),"No original box, no original papers",Men's watch/Unisex,1030.0,Item is in stock,416.0
8405,Armani,Quartz,Steel,Steel,New,"Original box, original papers",Women's watch,309.0,Item needs to be procured,5467.0
8406,Tissot,Quartz,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,375.0,Item is in stock,1425.0
8407,Favre-Leuba,Automatic,Steel,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,1300.0,Item is in stock,
8408,Armani,Quartz,,,Like new & unworn,"Original box, original papers",Men's watch/Unisex,206.0,Item is in stock,
8409,Formex,Automatic,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,1529.0,Item needs to be procured,1076.0
8410,Burberry,Quartz,Steel,,Like new & unworn,"Original box, original papers",Women's watch,260.0,Item is in stock,
8411,Harry Winston,Automatic,Rose gold,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,14500.0,Item is in stock,266.0
8412,Waltham,Manual winding,Gold/Steel,,Used (Good),"No original box, no original papers",Men's watch/Unisex,395.0,Item is in stock,1393.0
8413,Edox,Automatic,,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,677.0,Item is in stock,482.0
8414,Chronoswiss,Automatic,Steel,Alligator skin,Used (Very good),"Original box, original papers",Men's watch/Unisex,2450.0,Item is in stock,
8415,Bell & Ross,Automatic,Steel,Textile,Used (Very good),"Original box, original papers",Men's watch/Unisex,4700.0,Item is in stock,239.0
8416,Eberhard & Co.,Manual winding,Steel,Crocodile skin,Used (Very good),"Original box, original papers",Men's watch/Unisex,3579.0,Item is in stock,20.0
8417,Tecnotempo,Automatic,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,976.0,Item is in stock,
8418,Orient,Automatic,,Leather,New,"Original box, original papers",Men's watch/Unisex,174.0,Item is in stock,376.0
8419,Raketa,Manual winding,Steel,Leather,Used (Very good),"No original box, no original papers",Men's watch/Unisex,423.0,Item is in stock,78.0
8420,Bulgari,Quartz,Yellow gold,Yellow gold,Used (Very good),"No original box, no original papers",Men's watch/Unisex,3590.0,Item is in stock,251.0
8421,Oris,Automatic,Steel,Steel,,"Original box, original papers",,3425.0,Item is in stock,1222.0
8422,A. Lange & Söhne,Automatic,White gold,Rubber,Used (Very good),"Original box, original papers",Men's watch/Unisex,49180.0,Item is in stock,3534.0
8423,Laurent Ferrier,Manual winding,Steel,,Used (Very good),"Original box, original papers",Men's watch/Unisex,41050.0,Item is in stock,51.0
8424,Swiss Military,Quartz,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,270.0,Item is in stock,14642.0
8425,Laco,Manual winding,Steel,Leather,Used (Good),"No original box, no original papers",Men's watch/Unisex,423.0,Item is in stock,1007.0
8426,Mido,Automatic,Steel,Textile,Used (Very good),"Original box, original papers",Men's watch/Unisex,720.0,Item is in stock,
8427,Vacheron Constantin,Automatic,Steel,Steel,Used (Very good),"Original box, original papers",Men's watch/Unisex,30993.0,Item is in stock,1883.0
8428,Vulcain,Manual winding,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,2440.0,Item needs to be procured,1076.0
8429,Technomarine,Quartz,Steel,Leather,Used (Very good),"Original box, original papers",Women's watch,1627.0,Item is in stock,4.0
8430,Technomarine,Quartz,Ceramic,Ceramic,Like new & unworn,"Original box, original papers",Women's watch,922.0,Item is in stock,403.0
8431,Swiss Military,Quartz,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,433.0,Item is in stock,125.0
8432,Venezianico,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,,Item is in stock,819.0
8433,Louis Vuitton,Automatic,Steel,Rubber,Used (Good),"Original box, original papers",Men's watch/Unisex,2737.0,Item is in stock,17875.0
8434,Maserati,Quartz,Steel,,Like new & unworn,"Original box, original papers",Men's watch/Unisex,140.0,Item is in stock,14642.0
8435,De Grisogono,Automatic,Steel,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,3638.0,Item is in stock,
8436,Audemars Piguet,Automatic,Ceramic,,Used (Very good),"Original box, original papers",Men's watch/Unisex,26500.0,Item is in stock,82.0
8437,Franck Muller,Automatic,Steel,Calf skin,Used (Very good),"No original box, no original papers",Men's watch/Unisex,2999.0,Item is in stock,902.0
8438,Laco,Automatic,Steel,Calf skin,New,"Original box, original papers",Men's watch/Unisex,423.0,Item is in stock,1474.0
8439,Michel Herbelin,Quartz,,Steel,New,"Original box, original papers",Men's watch/Unisex,521.0,Item is in stock,733.0
8440,Hugo Boss,Quartz,Steel,Calf skin,Like new & unworn,"Original box, original papers",Men's watch/Unisex,215.0,Item is in stock,14642.0
8441,Roamer,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,921.0,Item is in stock,75.0
8442,Squale,Automatic,,Leather,Used (Very good),"Original box, original papers",Men's watch/Unisex,1083.0,Item is in stock,
8443,Richard Mille,,,Rubber,Used (Very good),"No original box, no original papers",Men's watch/Unisex,2500.0,Item is in stock,243.0
8444,Maurice Lacroix,Automatic,Steel,Leather,Used (Very good),"No original box, no original papers",Men's watch/Unisex,2005.0,Item is in stock,175.0
8445,Garmin,Smartwatch,Titanium,Leather,Used (Very good),"Original papers, no original box",Men's watch/Unisex,967.0,Item is in stock,
8446,Anonimo,Automatic,Steel,Calf skin,Like new & unworn,"Original box, original papers",Men's watch/Unisex,2874.0,Item is in stock,2153.0
8447,IWC,Quartz,Steel,Steel,Used (Very good),"No original box, no original papers",Men's watch/Unisex,2832.0,Item is in stock,54.0
8448,Titus,Manual winding,Yellow gold,Yellow gold,Used (Good),"No original box, no original papers",Women's watch,1301.0,Item is in stock,
