Id,Brand,Movement,Case material,Bracelet material,Condition,Scope of delivery,Gender,Price,Availability,Watches Sold by the Seller
3758,Gérald Genta,Quartz,,Steel,Used (Very good),"No original box, no original papers",Women's watch,1402.0,Item needs to be procured,104.0
3759,Locman,Quartz,Steel,Textile,New,"Original box, original papers",Men's watch/Unisex,169.0,Item is in stock,1287.0
3760,Davosa,Automatic,Steel,Leather,Like new & unworn,"Original box, no original papers",Men's watch/Unisex,971.0,Item is in stock,433.0
3761,Jaquet-Droz,Automatic,Steel,Crocodile skin,Like new & unworn,"Original box, original papers",Men's watch/Unisex,,Item available on request,74.0
3762,Glycine,Automatic,Steel,Leather,Used (Good),"No original box, no original papers",Men's watch/Unisex,433.0,Item is in stock,229.0
3763,Lanco,Automatic,Yellow gold,Lizard skin,Like new & unworn,"No original box, no original papers",Men's watch/Unisex,705.0,Item is in stock,
3764,Technomarine,Quartz,Steel,Rubber,Like new & unworn,"Original box, original papers",Men's watch/Unisex,976.0,Item is in stock,403.0
3765,Zenith,Automatic,Titanium,Textile,Used (Very good),"Original box, original papers",Men's watch/Unisex,8999.0,Item is in stock,49.0
3766,Jaeger-LeCoultre,Automatic,Gold/Steel,Calf skin,Used (Very good),"No original box, no original papers",Men's watch/Unisex,5499.0,Item is in stock,902.0
3767,Roamer,Automatic,Gold-plated,Leather,Used (Fair),"No original box, no original papers",Men's watch/Unisex,271.0,Item is in stock,
3768,Minerva,Manual winding,Steel,,Used (Very good),"Original box, no original papers",Men's watch/Unisex,304.0,Item is in stock,
3769,Doxa,Automatic,Steel,Rubber,Used (Very good),"Original box, original papers",Men's watch/Unisex,1680.0,Item is in stock,
3770,Philip Watch,Quartz,Steel,Leather,Used (Very good),"Original box, no original papers",Women's watch,146.0,Item is in stock,
3771,Christopher Ward,,Titanium,Titanium,Used (Very good),"Original box, original papers",Men's watch/Unisex,1734.0,Item is in stock,
3772,Favre-Leuba,Automatic,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,1100.0,Item available on request,712.0
3773,Glycine,Automatic,Steel,Rubber,Used (Very good),"Original box, no original papers",Men's watch/Unisex,1824.0,Item is in stock,
3774,Richard Mille,Automatic,Rose gold,Rubber,Like new & unworn,"Original box, original papers",Men's watch/Unisex,378000.0,Item is in stock,243.0
3775,Anonimo,Automatic,Steel,Leather,Used (Good),"No original box, no original papers",Men's watch/Unisex,1952.0,Item is in stock,360.0
3776,Glashütte Original,Automatic,Steel,Leather,Used (Very good),"Original papers, no original box",Men's watch/Unisex,3509.0,Item is in stock,174.0
3777,Franck Muller,,Rose gold,,Used (Very good),"Original box, original papers",,10880.0,Item is in stock,256.0
3779,Louis Moinet,Automatic,Steel,Leather,Used (Very good),"Original box, original papers",,10760.0,Item needs to be procured,322.0
3780,Gucci,Quartz,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,600.0,Item is in stock,45.0
3781,Hamilton,,,,,"Original box, original papers",,1450.0,Item is in stock,115.0
3782,Louis Vuitton,Automatic,Steel,Steel,Used (Very good),"Original box, original papers",Men's watch/Unisex,1913.0,Item is in stock,13209.0
3783,GUB Glashütte,Automatic,,,Used (Very good),"No original box, no original papers",Men's watch/Unisex,324.0,Item is in stock,
3784,Festina,Quartz,Steel,Steel,Like new & unworn,"Original box, original papers",Women's watch,140.0,Item is in stock,14642.0
3785,Mb&f,Automatic,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,5315.0,Item is in stock,2.0
3786,Glashütte Original,Automatic,Steel,Crocodile skin,Used (Very good),"Original box, original papers",Men's watch/Unisex,6731.0,Item is in stock,164.0
3787,Corum,Automatic,Steel,Rubber,Like new & unworn,"Original box, original papers",Men's watch/Unisex,5550.0,Item is in stock,545.0
3788,Traser,Quartz,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,434.0,Item is in stock,1474.0
3789,Rotary,Quartz,Steel,Calf skin,Like new & unworn,"Original box, original papers",Men's watch/Unisex,129.0,Item is in stock,14642.0
3790,JeanRichard,Automatic,Steel,Rubber,Used (Good),"Original box, original papers",Men's watch/Unisex,1224.0,Item needs to be procured,364.0
3791,Gérald Genta,Automatic,Steel,Steel,Used (Good),"Original box, original papers",Men's watch/Unisex,5798.0,Item is in stock,31.0
3792,Spinnaker,Automatic,Silver,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,1139.0,Item is in stock,
3793,Universal Genève,Manual winding,Steel,Leather,Used (Good),"No original box, no original papers",Men's watch/Unisex,249.0,Item is in stock,371.0
3794,Sicura,Manual winding,,Leather,Like new & unworn,"No original box, no original papers",Men's watch/Unisex,347.0,Item is in stock,3000.0
3795,Perseo,Manual winding,Steel,,Used (Very good),"Original box, no original papers",Men's watch/Unisex,163.0,Item is in stock,
3796,Edox,Automatic,,Steel,Used (Very good),"Original box, no original papers",Men's watch/Unisex,591.0,Item is in stock,
3797,Harry Winston,Automatic,Rose gold,,Like new & unworn,"Original box, original papers",Men's watch/Unisex,24800.0,Item is in stock,327.0
3798,Alpina,Quartz,Steel,Leather,Used (Very good),"Original box, no original papers",,291.0,Item is in stock,514.0
3799,Citizen,Quartz,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,500.0,Item is in stock,1424.0
3800,Versace,Quartz,Steel,Steel,Used (Very good),"Original box, original papers",Men's watch/Unisex,851.0,Item is in stock,
3801,Movado,Quartz,Steel,Steel,New,"Original box, no original papers",Men's watch/Unisex,607.0,Item is in stock,245.0
3802,Seiko,Automatic,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,505.0,Item is in stock,580.0
3803,Cartier,Automatic,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,6595.0,Item is in stock,844.0
3804,Van Der Bauwede,Quartz,Gold/Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,1084.0,Item is in stock,1.0
3805,Junghans,Automatic,Gold-plated,Leather,Like new & unworn,"Original box, original papers",Men's watch/Unisex,1994.0,Item is in stock,250.0
3806,Chronoswiss,Automatic,Rose gold,,Used (Very good),"Original papers, no original box",Men's watch/Unisex,10950.0,Item is in stock,2206.0
3807,Poljot,Manual winding,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,211.0,Item is in stock,2054.0
3808,Carl F. Bucherer,Automatic,Steel,Leather,Used (Very good),"No original box, no original papers",Men's watch/Unisex,8590.0,Item is in stock,65.0
3809,Swatch,Automatic,,Leather,Used (Very good),"No original box, no original papers",Women's watch,117.0,Item is in stock,
3810,Waltham,Manual winding,Gold/Steel,,Used (Good),"No original box, no original papers",Men's watch/Unisex,275.0,Item is in stock,1393.0
3811,Spinnaker,Automatic,Steel,Calf skin,Like new & unworn,"Original box, original papers",Men's watch/Unisex,242.0,Item is in stock,14642.0
