id,brand,movement,case_material,bracelet_material,condition,scope_of_delivery,gender,price,availability,watches_sold
183,Porsche Design,Automatic,Steel,Steel,Used (Good),No Box and papers,Men's watch/Unisex,7282.0,Available,403
185,Meistersinger,Automatic,Steel,Leather,New,Original Box and Papers,Men's watch/Unisex,1399.0,Available,680
186,Citizen,Quartz,Titanium,Rubber,New,Original Box and Papers,Men's watch/Unisex,1397.0,Available,82
187,Terra Cielo Mare,Automatic,Steel,Leather,Used (Good),No Box and papers,Men's watch/Unisex,810.0,Available,1580
188,Vulcain,Automatic,Steel,Rubber,New,Original Box and Papers,Men's watch/Unisex,1469.0,Available,5034
195,Oris,Automatic,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,2399.0,Available,1170
196,Steinhart,Automatic,Steel,Silicon,New,Original Box and Papers,Men's watch/Unisex,829.0,Available,411
198,Porsche Design,Automatic,Titanium,Rubber,Used (Good),Original Box and Papers,Men's watch/Unisex,3122.0,Available,347
199,Omega,Manual winding,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,8190.0,Available,21
200,Frederique Constant,Automatic,Steel,Leather,Used (Good),Original Box and Papers,Men's watch/Unisex,2274.0,Available,114
201,Hanhart,Manual winding,Steel,Leather,New,Original Box and Papers,Men's watch/Unisex,2150.0,Available Upon Request,1072
204,NOMOS,Manual winding,Steel,Leather,Used (Good),No Box and papers,Men's watch/Unisex,1404.0,Available,663
206,Girard Perregaux,Automatic,Gold/Steel,Leather,Used (Good),No Box and papers,Men's watch/Unisex,1567.0,Available,28
211,Certina,Manual winding,Steel,Leather,Used (Good),No Box and papers,Men's watch/Unisex,810.0,Available,5
212,Favre-Leuba,Automatic,Steel,Steel,Used (Good),No Box and papers,Men's watch/Unisex,1424.0,Available,28
214,Cuervo y Sobrinos,Automatic,Steel,Leather,New,Original Box and Papers,Men's watch/Unisex,1750.0,Available Upon Request,1736
215,Poljot,Manual winding,Steel,Leather,New,Original Box and Papers,Men's watch/Unisex,323.0,Available,2053
216,Vulcain,Automatic,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,2042.0,Available Upon Request,3108
217,Minerva,Manual winding,Steel,Leather,Used (Good),No Box and papers,Men's watch/Unisex,3750.0,Available,57
218,Harry Winston,Automatic,White gold,Leather,New,Original Box and Papers,Men's watch/Unisex,39995.0,Available,545
219,Chronoswiss,Automatic,Steel,Leather,Used (Good),Original Paper,Men's watch/Unisex,3986.0,Available,1739
220,Spinnaker,Automatic,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,528.0,Available,14626
223,Jaeger-LeCoultre,Manual winding,Steel,Leather,Used (Good),Original Paper,Men's watch/Unisex,9999.0,Available,2946
224,Franck Muller,Automatic,Rose gold,Leather,Used (Good),Original Box and Papers,Men's watch/Unisex,10000.0,Available,50
228,Carl F. Bucherer,Automatic,Steel,Steel,Used (Good),Original Box and Papers,Men's watch/Unisex,5999.0,Available Upon Request,522
230,Cartier,Automatic,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,7195.0,Available,260
231,Breguet,Automatic,Yellow gold,Leather,Used (Good),Original Box and Papers,Men's watch/Unisex,12300.0,Available,1153
235,Romain Jerome,Automatic,Steel,Crocodile skin,Used (Good),Original Box and Papers,Men's watch/Unisex,9615.0,Available,779
236,Maurice Lacroix,Automatic,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,1231.0,Available,1978
241,Seiko,Automatic,Steel,Calf skin,Used (Good),Original Box and Papers,Men's watch/Unisex,899.0,Available,902
246,Chanel,Automatic,Ceramic,Ceramic,Used (Good),No Box and papers,Men's watch/Unisex,3650.0,Available,27
247,Breitling,Automatic,Steel,Rubber,Used (Good),Original Box and Papers,Men's watch/Unisex,3239.0,Available,697
249,Orient,Automatic,Steel,Steel,Used (Good),No Box and papers,Men's watch/Unisex,629.0,Available,209
252,Yema,Automatic,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,897.0,Available,1086
253,A. Lange & Söhne,Manual winding,White gold,Crocodile skin,New,Original Box and Papers,Men's watch/Unisex,31330.0,Available,253
254,Ebel,Quartz,Steel,Steel,Used,Original Box and Papers,Men's watch/Unisex,589.0,Available,17847
255,Swiss Military,Quartz,Steel,Calf skin,New,Original Box and Papers,Men's watch/Unisex,257.0,Available,14626
